ASM,Contrast,Entropy,Homogeneity,Correlation,Class
3.16546385,10.48255108,0.794305083,1.835618281,8.23E-06,pubescent bamboo
3.165324333,8.271848415,0.781575067,1.840033842,8.21E-06,pubescent bamboo
3.031593237,12.23909925,1.150671194,1.804402521,8.34E-06,pubescent bamboo
2.935177492,10.02635008,1.331193969,1.787075887,8.37E-06,pubescent bamboo
2.97195047,12.25380108,1.28489749,1.792067667,8.37E-06,pubescent bamboo
3.05737215,13.22431505,1.057157767,1.805416526,8.28E-06,pubescent bamboo
2.82242059,9.760052127,1.573487605,1.766212312,8.49E-06,pubescent bamboo
2.699188422,11.67198916,1.937158676,1.732152133,8.57E-06,pubescent bamboo
2.707548366,15.08529921,1.955197388,1.730882514,8.57E-06,pubescent bamboo
2.784158518,11.47324646,1.663035195,1.758564141,8.50E-06,pubescent bamboo
2.865697976,9.967721018,1.472220731,1.775234836,8.42E-06,pubescent bamboo
3.141058042,9.753780234,0.916352403,1.829700047,8.22E-06,pubescent bamboo
3.182686442,10.14621143,0.801096939,1.835123631,8.20E-06,pubescent bamboo
2.673236691,12.52543474,2.03131526,1.721383988,8.49E-06,pubescent bamboo
2.582023502,8.562244579,2.090262253,1.72691,8.64E-06,pubescent bamboo
3.0718876,8.150062552,0.995773634,1.822851681,8.26E-06,pubescent bamboo
2.986900945,9.147410342,1.18760309,1.803445632,8.34E-06,pubescent bamboo
2.780071393,14.93382089,1.811298542,1.743403685,8.48E-06,pubescent bamboo
2.916994831,11.0044902,1.410863009,1.780572229,8.39E-06,pubescent bamboo
2.706586652,7.561531485,1.83572322,1.750497789,8.48E-06,pubescent bamboo
2.672426424,15.26282944,1.995420524,1.722002834,8.55E-06,pubescent bamboo
2.744494398,10.44015847,1.797865989,1.7495834,8.51E-06,pubescent bamboo
2.825448394,10.91604879,1.562101287,1.761455967,8.44E-06,pubescent bamboo
3.04266582,12.13418891,1.117105467,1.806368592,8.28E-06,pubescent bamboo
2.499023364,9.810754796,2.36782194,1.701130039,8.64E-06,pubescent bamboo
2.477473516,17.70800563,2.559833694,1.664334435,8.60E-06,pubescent bamboo
2.498637299,13.27698186,2.529761663,1.696819664,8.77E-06,pubescent bamboo
2.571210464,12.82040659,2.215650342,1.71478475,8.71E-06,pubescent bamboo
2.32447652,13.14170455,2.94199337,1.651758249,8.93E-06,pubescent bamboo
2.498964796,9.737736656,2.388651244,1.699482612,8.78E-06,pubescent bamboo
2.009661123,7.237785655,3.426060798,1.641110208,9.00E-06,chinese horse chestnut
1.907721308,15.29341535,3.904053862,1.544112005,9.21E-06,chinese horse chestnut
1.384117129,13.57945997,5.10784023,1.433106114,9.66E-06,chinese horse chestnut
1.295511475,16.82466222,5.459079643,1.391041502,9.74E-06,chinese horse chestnut
1.435937049,15.17980713,5.117318066,1.441394578,9.72E-06,chinese horse chestnut
1.239619193,17.90355713,5.653776366,1.368725631,9.69E-06,chinese horse chestnut
